Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,25.77,25.8,24.41,24.51,693200,24.51,0.0,24.51,24.51
2016-01-05,2016,1,5,Tuesday,01,2016-01,24.34,24.77,23.6,24.04,471900,24.04,-0.01917581839924498,24.275,24.275
2016-01-06,2016,1,6,Wednesday,01,2016-01,23.84,24.14,23.48,23.88,534300,23.88,-0.006655646783166214,24.143333333333334,24.143333333333334
2016-01-07,2016,1,7,Thursday,01,2016-01,23.4,23.87,23.0,23.02,1406800,23.02,-0.03601334728754324,23.8625,23.8625
2016-01-08,2016,1,8,Friday,01,2016-01,23.42,24.17,23.42,23.89,634100,23.89,0.037793176133120054,23.868000000000002,23.868000000000002
2016-01-11,2016,1,11,Monday,02,2016-02,23.89,24.35,23.41,23.76,534700,23.76,-0.005441572377056225,23.849999999999998,23.849999999999998
2016-01-12,2016,1,12,Tuesday,02,2016-02,23.89,24.11,23.13,23.63,367400,23.63,-0.005471425373018701,23.818571428571428,23.818571428571428
2016-01-13,2016,1,13,Wednesday,02,2016-02,23.28,24.21,22.71,23.0,572800,23.0,-0.026660989553169423,23.71625,23.71625
2016-01-14,2016,1,14,Thursday,02,2016-02,23.0,23.0,21.64,22.64,827400,22.64,-0.015652200450067988,23.596666666666668,23.596666666666668
2016-01-15,2016,1,15,Friday,02,2016-02,22.64,22.67,21.63,22.3,1045000,22.3,-0.015017674989132201,23.467000000000002,23.467000000000002
2016-01-19,2016,1,19,Tuesday,03,2016-03,22.38,22.38,21.44,21.8,804300,21.8,-0.022421525430774247,23.315454545454546,23.315454545454546
2016-01-20,2016,1,20,Wednesday,03,2016-03,21.75,22.08,20.52,21.26,1425000,21.26,-0.024770597572347564,23.144166666666667,23.144166666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,21.56,21.6,20.44,20.6,858000,20.6,-0.031044206975853972,22.948461538461537,22.948461538461537
2016-01-22,2016,1,22,Friday,03,2016-03,21.04,21.62,20.58,21.47,831100,21.47,0.04223295707641617,22.842857142857145,22.842857142857145
2016-01-25,2016,1,25,Monday,04,2016-04,21.47,21.75,20.53,20.59,753000,20.59,-0.0409873865351843,22.562857142857144,22.692666666666664
2016-01-26,2016,1,26,Tuesday,04,2016-04,20.62,21.19,20.03,21.19,390000,21.19,0.02914037770875466,22.35928571428571,22.59875
2016-01-27,2016,1,27,Wednesday,04,2016-04,21.11,21.51,20.61,20.72,551200,20.72,-0.02218033076250825,22.13357142857143,22.488235294117647
2016-01-28,2016,1,28,Thursday,04,2016-04,20.8,21.31,20.35,20.52,502700,20.52,-0.009652454740281646,21.955000000000002,22.378888888888888
2016-01-29,2016,1,29,Friday,04,2016-04,20.44,21.67,20.44,21.67,690500,21.67,0.05604286514989698,21.796428571428574,22.341578947368422
2016-02-01,2016,2,1,Monday,05,2016-05,21.65,21.81,20.41,20.92,595800,20.92,-0.03461005986891841,21.59357142857143,22.270500000000002
2016-02-02,2016,2,2,Tuesday,05,2016-05,20.78,21.06,19.1,19.81,1064700,19.81,-0.053059302404563025,21.320714285714285,22.153333333333336
2016-02-03,2016,2,3,Wednesday,05,2016-05,20.13,20.68,19.04,19.51,741200,19.51,-0.015143828629390454,21.071428571428573,22.03318181818182
2016-02-04,2016,2,4,Thursday,05,2016-05,19.55,20.16,18.93,19.91,586500,19.91,0.02050228671643639,20.87642857142857,21.94086956521739
2016-02-05,2016,2,5,Friday,05,2016-05,19.66,19.8,18.01,18.15,926400,18.15,-0.08839780222854199,20.580000000000002,21.782916666666665
2016-02-08,2016,2,8,Monday,06,2016-06,17.96,18.09,16.6,17.06,1605200,17.06,-0.06005510608799425,20.24142857142857,21.594
2016-02-09,2016,2,9,Tuesday,06,2016-06,16.84,17.44,16.45,17.21,913700,17.21,0.00879247498393676,19.952142857142857,21.42538461538462
2016-02-10,2016,2,10,Wednesday,06,2016-06,17.18,18.24,17.1,17.88,960800,17.88,0.03893086065869911,19.757857142857144,21.294074074074075
2016-02-11,2016,2,11,Thursday,06,2016-06,17.38,19.82,17.34,19.18,1756400,19.18,0.07270700254067819,19.594285714285714,21.21857142857143
2016-02-12,2016,2,12,Friday,06,2016-06,18.48,19.61,17.3,18.86,2449300,18.86,-0.0166840297045181,19.470714285714283,21.137241379310346
2016-02-16,2016,2,16,Tuesday,07,2016-07,18.8,19.97,18.42,19.55,939500,19.55,0.036585291854670965,19.353571428571428,21.084333333333333
2016-02-17,2016,2,17,Wednesday,07,2016-07,19.23,21.46,19.23,20.19,1056400,20.19,0.03273664051013525,19.315714285714286,21.05548387096774
2016-02-18,2016,2,18,Thursday,07,2016-07,20.31,20.73,19.82,20.38,1007400,20.38,0.009410531039287795,19.305714285714288,21.034375
2016-02-19,2016,2,19,Friday,07,2016-07,20.78,21.54,20.05,21.44,847600,21.44,0.052011845777286236,19.289285714285715,21.046666666666667
2016-02-22,2016,2,22,Monday,08,2016-08,21.43,22.0,20.57,20.84,868600,20.84,-0.02798509172220498,19.28357142857143,21.040588235294116
2016-02-23,2016,2,23,Tuesday,08,2016-08,21.45,22.83,21.18,21.76,1317400,21.76,0.044145876658244765,19.422857142857143,21.06114285714286
2016-02-24,2016,2,24,Wednesday,08,2016-08,21.5,21.5,20.15,21.02,902700,21.02,-0.034007342065004664,19.530714285714286,21.06
2016-02-25,2016,2,25,Thursday,08,2016-08,21.19,22.36,21.19,22.3,765400,22.3,0.060894326899222806,19.701428571428572,21.093513513513514
2016-02-26,2016,2,26,Friday,08,2016-08,22.25,22.63,21.88,22.35,937700,22.35,0.0022422038618765683,20.001428571428573,21.126578947368422
2016-02-29,2016,2,29,Monday,09,2016-09,22.09,23.58,22.09,23.15,803600,23.15,0.03579414869826225,20.43642857142857,21.17846153846154
2016-03-01,2016,3,1,Tuesday,09,2016-09,23.39,24.07,22.7,23.06,978900,23.06,-0.0038876956402129625,20.854285714285712,21.2255
2016-03-02,2016,3,2,Wednesday,09,2016-09,23.61,24.24,23.44,24.08,781700,24.08,0.044232457995939,21.297142857142855,21.295121951219514
2016-03-03,2016,3,3,Thursday,09,2016-09,24.35,25.29,24.08,24.64,1220000,24.64,0.023255791848698415,21.687142857142856,21.374761904761904
2016-03-04,2016,3,4,Friday,09,2016-09,24.58,25.75,24.1,24.76,772700,24.76,0.004870164050564618,22.10857142857143,21.453488372093023
2016-03-07,2016,3,7,Monday,10,2016-10,24.82,25.85,24.63,25.23,739700,25.23,0.018982201494742057,22.514285714285712,21.53931818181818
2016-03-08,2016,3,8,Tuesday,10,2016-10,24.93,25.96,24.78,25.59,671500,25.59,0.014268752155500497,22.900000000000002,21.629333333333335
2016-03-09,2016,3,9,Wednesday,10,2016-10,25.38,25.46,23.75,23.85,934000,23.85,-0.06799530131859732,23.14785714285714,21.67760869565217
2016-03-10,2016,3,10,Thursday,10,2016-10,23.84,24.16,22.69,23.35,854300,23.35,-0.020964360251686798,23.284285714285716,21.7131914893617
2016-03-11,2016,3,11,Friday,10,2016-10,23.47,24.05,23.45,24.0,382900,24.0,0.02783724230883111,23.509999999999998,21.760833333333334
2016-03-14,2016,3,14,Monday,11,2016-11,23.51,24.18,23.5,23.96,442700,23.96,-0.001666704813639286,23.667142857142856,21.805714285714288
2016-03-15,2016,3,15,Tuesday,11,2016-11,23.72,23.72,22.69,23.14,656100,23.14,-0.03422369474778575,23.81857142857143,21.832400000000003
2016-03-16,2016,3,16,Wednesday,11,2016-11,23.1,24.02,23.0,23.74,347600,23.74,0.02592914422193693,23.92142857142857,21.816999999999997
2016-03-17,2016,3,17,Thursday,11,2016-11,23.61,23.96,23.15,23.16,508400,23.16,-0.024431336533190517,23.979285714285712,21.799400000000002
2016-03-18,2016,3,18,Friday,11,2016-11,23.41,23.67,22.95,23.4,976900,23.4,0.010362684486156404,23.997142857142855,21.7898
2016-03-21,2016,3,21,Monday,12,2016-12,23.44,24.07,23.11,23.96,756700,23.96,0.023931601498784705,24.06142857142857,21.808600000000002
2016-03-22,2016,3,22,Tuesday,12,2016-12,25.3,25.96,24.45,24.56,1283000,24.56,0.025041753105013997,24.095714285714287,21.822000000000003
2016-03-23,2016,3,23,Wednesday,12,2016-12,24.39,24.76,23.54,23.71,836900,23.71,-0.03460913680590394,24.029285714285717,21.821000000000005
2016-03-24,2016,3,24,Thursday,12,2016-12,23.5,24.17,23.31,24.14,496500,24.14,0.01813582124755886,23.984999999999996,21.8312
2016-03-28,2016,3,28,Monday,13,2016-13,24.46,24.46,23.6,24.13,396400,24.13,-0.00041425969903396975,23.90642857142857,21.8538
2016-03-29,2016,3,29,Tuesday,13,2016-13,23.92,25.32,23.92,25.09,633800,25.09,0.0397845431085706,23.870714285714286,21.902800000000003
2016-03-30,2016,3,30,Wednesday,13,2016-13,25.34,25.84,24.91,24.94,563300,24.94,-0.005978462240654903,23.94857142857143,21.9556
2016-03-31,2016,3,31,Thursday,13,2016-13,24.64,25.75,24.64,25.55,609500,25.55,0.02445864835367284,24.10571428571429,22.0306
2016-04-01,2016,4,1,Friday,13,2016-13,26.0,26.0,24.42,24.79,630300,24.79,-0.029745532063688573,24.162142857142857,22.1012
2016-04-04,2016,4,4,Monday,14,2016-14,24.51,24.62,23.62,23.78,808300,23.78,-0.04074224250025005,24.149285714285718,22.1648
2016-04-05,2016,4,5,Tuesday,14,2016-14,23.47,23.51,22.68,22.9,987500,22.9,-0.03700593114824546,24.132142857142856,22.1934
2016-04-06,2016,4,6,Wednesday,14,2016-14,22.83,23.62,21.86,22.69,761100,22.69,-0.009170265850254822,24.057142857142857,22.2354
2016-04-07,2016,4,7,Thursday,14,2016-14,22.51,22.73,21.89,21.9,783100,21.9,-0.034817139573952605,23.967142857142857,22.2496
2016-04-08,2016,4,8,Friday,14,2016-14,22.04,22.36,21.78,22.07,1366600,22.07,0.007762560696581211,23.872142857142858,22.276600000000002
2016-04-11,2016,4,11,Monday,15,2016-15,22.13,22.17,20.87,21.05,822900,21.05,-0.04621660497815405,23.664285714285715,22.287200000000002
2016-04-12,2016,4,12,Tuesday,15,2016-15,21.04,21.73,20.89,21.59,733900,21.59,0.025653251073597172,23.452142857142857,22.2856
2016-04-13,2016,4,13,Wednesday,15,2016-15,21.76,22.64,21.66,22.53,558900,22.53,0.043538699741275444,23.36785714285714,22.3178
2016-04-14,2016,4,14,Thursday,15,2016-15,22.53,22.89,22.4,22.62,513600,22.62,0.003994680419217023,23.259285714285713,22.374000000000002
2016-04-15,2016,4,15,Friday,15,2016-15,22.57,22.98,22.42,22.95,364600,22.95,0.01458885550232547,23.175000000000004,22.442800000000002
2016-04-18,2016,4,18,Monday,16,2016-16,22.74,23.25,22.42,22.82,470200,22.82,-0.005664534370088736,23.012857142857143,22.500999999999998
2016-04-19,2016,4,19,Tuesday,16,2016-16,22.93,23.6,22.74,23.19,776400,23.19,0.016213884495244635,22.887857142857143,22.601800000000004
2016-04-20,2016,4,20,Wednesday,16,2016-16,23.29,24.9,23.06,24.22,854000,24.22,0.04441564275879095,22.79285714285714,22.745
2016-04-21,2016,4,21,Thursday,16,2016-16,24.5,24.99,24.28,24.5,486400,24.5,0.011560722319720274,22.772142857142857,22.8908
2016-04-22,2016,4,22,Friday,16,2016-16,24.27,25.77,23.63,25.67,737600,25.67,0.047755105154854816,22.907142857142855,23.046599999999998
2016-04-25,2016,4,25,Monday,17,2016-17,25.42,25.65,24.88,25.58,483000,25.58,-0.0035060441106505857,23.09857142857143,23.1746
2016-04-26,2016,4,26,Tuesday,17,2016-17,25.5,26.83,25.49,25.82,707300,25.82,0.00938232102556591,23.322142857142858,23.3138
2016-04-27,2016,4,27,Wednesday,17,2016-17,25.71,26.14,25.31,25.52,548100,25.52,-0.011618870666395997,23.580714285714286,23.433200000000003
2016-04-28,2016,4,28,Thursday,17,2016-17,25.08,25.83,24.94,25.03,376400,25.03,-0.019200617646113582,23.792142857142856,23.53
2016-04-29,2016,4,29,Friday,17,2016-17,24.96,25.75,24.39,25.02,457600,25.02,-0.00039952970864964854,24.075714285714287,23.6228
