Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-01-02,2018,1,2,Tuesday,00,2018-00,267.84,268.81,267.4,268.77,86655700,245.83,0.0,245.83,245.83
2018-01-03,2018,1,3,Wednesday,00,2018-00,268.96,270.64,268.96,270.47,90070400,247.38,0.006324961460185463,246.60500000000002,246.60500000000002
2018-01-04,2018,1,4,Thursday,00,2018-00,271.2,272.16,270.54,271.61,80636400,248.43,0.004214769692369114,247.21333333333334,247.21333333333334
2018-01-05,2018,1,5,Friday,00,2018-00,272.51,273.56,271.95,273.42,83524000,250.08,0.00666451976718907,247.93,247.93
2018-01-08,2018,1,8,Monday,01,2018-01,273.31,274.1,272.98,273.92,57319200,250.54,0.0018286878665758621,248.452,248.452
2018-01-09,2018,1,9,Tuesday,01,2018-01,274.4,275.25,274.08,274.54,57254000,251.11,0.002263553212137115,248.895,248.895
2018-01-10,2018,1,10,Wednesday,01,2018-01,273.68,274.42,272.92,274.12,69574300,250.72,-0.0015301567455113796,249.1557142857143,249.1557142857143
2018-01-11,2018,1,11,Thursday,01,2018-01,274.75,276.12,274.56,276.12,62361500,252.55,0.007295830403711845,249.58,249.58
2018-01-12,2018,1,12,Friday,01,2018-01,276.42,278.11,276.08,277.92,90816100,254.2,0.006519473562705436,250.09333333333336,250.09333333333336
2018-01-16,2018,1,16,Tuesday,02,2018-02,279.35,280.09,276.18,276.97,106555100,253.33,-0.003418794594277963,250.417,250.417
2018-01-17,2018,1,17,Wednesday,02,2018-02,278.03,280.05,276.97,279.61,113258800,255.74,0.009531846930039167,250.90090909090907,250.90090909090907
2018-01-18,2018,1,18,Thursday,02,2018-02,279.48,279.96,278.58,279.14,100728000,255.31,-0.0016808685099857223,251.26833333333335,251.26833333333335
2018-01-19,2018,1,19,Friday,02,2018-02,279.8,280.41,279.14,280.41,140920100,256.47,0.004549607938843181,251.66846153846154,251.66846153846154
2018-01-22,2018,1,22,Monday,03,2018-03,280.17,282.69,280.11,282.69,91322400,258.56,0.008131084480938577,252.16071428571428,252.16071428571428
2018-01-23,2018,1,23,Tuesday,03,2018-03,282.74,283.62,282.37,283.29,97084700,259.11,0.002122631293255406,253.10928571428573,252.624
2018-01-24,2018,1,24,Wednesday,03,2018-03,284.02,284.7,281.84,283.18,134816100,259.01,-0.00038843472700678117,253.94,253.023125
2018-01-25,2018,1,25,Thursday,03,2018-03,284.16,284.27,282.4,283.3,84587300,259.12,0.00042346176101415445,254.70357142857145,253.38176470588235
2018-01-26,2018,1,26,Friday,03,2018-03,284.25,286.63,283.96,286.58,107743100,262.12,0.011577966366588255,255.56357142857146,253.8672222222222
2018-01-29,2018,1,29,Monday,04,2018-04,285.93,286.43,284.5,284.68,90118300,260.38,-0.006629923150173411,256.26642857142855,254.20999999999998
2018-01-30,2018,1,30,Tuesday,04,2018-04,282.6,284.74,281.22,281.76,131796400,257.71,-0.010256859237256166,256.73785714285714,254.385
2018-01-31,2018,1,31,Wednesday,04,2018-04,282.73,283.3,280.68,281.9,108364800,257.84,0.0004966469227607462,257.24642857142857,254.5495238095238
2018-02-01,2018,2,1,Thursday,04,2018-04,281.07,283.06,280.68,281.58,90102500,257.54,-0.0011353057969599734,257.60285714285715,254.68545454545455
2018-02-02,2018,2,2,Friday,04,2018-04,280.08,280.23,275.41,275.45,173174800,251.94,-0.021769632382468873,257.44142857142856,254.56608695652176
2018-02-05,2018,2,5,Monday,05,2018-05,273.45,275.85,263.31,263.93,294681800,241.4,-0.04182259275436995,256.5892857142857,254.0175
2018-02-06,2018,2,6,Tuesday,05,2018-05,259.94,269.7,258.7,269.13,355026800,246.16,0.019702039645538294,255.905,253.7032
2018-02-07,2018,2,7,Wednesday,05,2018-05,268.5,272.36,267.58,267.67,167376100,244.82,-0.0054248679193587,255.15571428571428,253.36153846153846
2018-02-08,2018,2,8,Thursday,05,2018-05,268.01,268.17,257.59,257.63,246449500,235.64,-0.03750876848549445,253.66785714285714,252.70518518518517
2018-02-09,2018,2,9,Friday,05,2018-05,260.8,263.61,252.92,261.5,283565300,239.18,0.015021570811466933,252.28357142857143,252.22214285714287
2018-02-12,2018,2,12,Monday,06,2018-06,263.83,267.01,261.66,265.34,143736000,242.69,0.014684237505530273,251.11071428571427,251.89344827586206
2018-02-13,2018,2,13,Tuesday,06,2018-06,263.97,266.62,263.31,266.0,81223600,243.29,0.0024875183967212333,249.98785714285714,251.60666666666665
2018-02-14,2018,2,14,Wednesday,06,2018-06,264.31,270.0,264.3,269.59,120735700,246.58,0.013496317116571177,249.09214285714285,251.44451612903225
2018-02-15,2018,2,15,Thursday,06,2018-06,271.57,273.04,268.77,273.03,111200300,249.72,0.012760272194552336,248.20642857142857,251.390625
2018-02-16,2018,2,16,Friday,06,2018-06,272.32,275.32,272.27,273.11,160420100,249.8,0.00029286382571447334,247.45071428571427,251.34242424242422
2018-02-20,2018,2,20,Tuesday,07,2018-07,272.03,273.67,270.5,271.4,86369700,248.23,-0.00626116281338418,246.77357142857144,251.2508823529412
2018-02-21,2018,2,21,Wednesday,07,2018-07,271.9,274.72,269.94,270.05,98883700,247.0,-0.004974409987644091,245.99928571428572,251.12942857142858
2018-02-22,2018,2,22,Thursday,07,2018-07,271.1,273.05,269.64,270.4,110511300,247.32,0.0012958278002013213,245.2692857142857,251.0236111111111
2018-02-23,2018,2,23,Friday,07,2018-07,271.79,274.71,271.25,274.71,92766400,251.26,0.01593984617275379,245.2207142857143,251.03000000000003
2018-02-26,2018,2,26,Monday,08,2018-08,275.93,278.01,275.26,277.9,86491400,254.18,0.0116121838841734,246.13357142857143,251.11289473684212
2018-02-27,2018,2,27,Tuesday,08,2018-08,278.11,278.92,274.36,274.43,99099200,251.01,-0.012486639959793266,246.48000000000002,251.1102564102564
2018-02-28,2018,2,28,Wednesday,08,2018-08,275.68,276.19,271.29,271.65,121907800,248.46,-0.010130041654399569,246.74,251.044
2018-03-01,2018,3,1,Thursday,08,2018-08,271.41,273.17,266.0,267.7,176855100,244.85,-0.014540590650082286,247.39785714285716,250.8929268292683
2018-03-02,2018,3,2,Friday,08,2018-08,265.8,269.72,264.82,269.08,139083200,246.11,0.0051549009791993505,247.89285714285714,250.77904761904762
2018-03-05,2018,3,5,Monday,09,2018-09,267.73,272.89,267.61,272.19,97307400,248.96,0.011557985379927471,248.34071428571428,250.7367441860465
2018-03-06,2018,3,6,Tuesday,09,2018-09,273.3,273.39,271.18,272.88,79213200,249.59,0.0025348721127047558,248.7907142857143,250.71068181818183
2018-03-07,2018,3,7,Wednesday,09,2018-09,270.42,273.18,270.2,272.78,87063500,249.5,-0.000366449197755081,248.9992857142857,250.68377777777778
2018-03-08,2018,3,8,Thursday,09,2018-09,273.55,274.24,272.42,274.1,66901200,250.7,0.004839098329274538,249.06928571428574,250.6841304347826
2018-03-09,2018,3,9,Friday,09,2018-09,275.7,278.87,275.34,278.87,113625300,255.07,0.017402324416205817,249.44571428571427,250.77744680851066
2018-03-12,2018,3,12,Monday,10,2018-10,279.2,279.91,278.08,278.52,71924800,254.75,-0.0012548437050767802,249.91142857142856,250.86020833333336
2018-03-13,2018,3,13,Tuesday,10,2018-10,279.84,280.41,276.03,276.72,91968900,253.1,-0.006463173216013085,250.34714285714284,250.9059183673469
2018-03-14,2018,3,14,Wednesday,10,2018-10,277.81,278.02,274.67,275.3,105895100,251.8,-0.0051311416001799115,250.66714285714286,250.9238
2018-03-15,2018,3,15,Thursday,10,2018-10,275.88,276.61,274.43,275.0,83433000,251.53,-0.0010899261157835127,250.68642857142854,251.03779999999998
2018-03-16,2018,3,16,Friday,10,2018-10,274.5,275.39,274.14,274.2,100343700,251.8,0.0010845635629592731,250.51642857142858,251.12620000000004
