Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-01-02,2018,1,2,Tuesday,00,2018-00,40.5,42.33,40.5,42.3,277300,42.3,0.0,42.3,42.3
2018-01-03,2018,1,3,Wednesday,00,2018-00,42.49,43.11,42.1,42.73,372700,42.73,0.010165492031475987,42.515,42.515
2018-01-04,2018,1,4,Thursday,00,2018-00,42.63,42.95,41.4,42.01,255100,42.01,-0.016850017046956434,42.346666666666664,42.346666666666664
2018-01-05,2018,1,5,Friday,00,2018-00,42.24,42.49,41.96,42.34,127300,42.34,0.007855316454167482,42.345,42.345
2018-01-08,2018,1,8,Monday,01,2018-01,42.09,42.99,42.09,42.62,218600,42.62,0.006613102935469906,42.4,42.4
2018-01-09,2018,1,9,Tuesday,01,2018-01,42.64,42.65,41.89,41.96,167100,41.96,-0.01548568427856889,42.32666666666666,42.32666666666666
2018-01-10,2018,1,10,Wednesday,01,2018-01,41.92,42.23,41.31,42.19,174500,42.19,0.0054814000775667004,42.30714285714286,42.30714285714286
2018-01-11,2018,1,11,Thursday,01,2018-01,44.38,45.95,43.93,44.23,608600,44.23,0.048352713484941745,42.5475,42.5475
2018-01-12,2018,1,12,Friday,01,2018-01,45.0,45.13,44.22,44.37,407900,44.37,0.0031652586727872745,42.75,42.75
2018-01-16,2018,1,16,Tuesday,02,2018-02,44.88,45.24,43.93,44.2,300800,44.2,-0.003831376448899304,42.894999999999996,42.894999999999996
2018-01-17,2018,1,17,Wednesday,02,2018-02,44.45,44.62,44.1,44.35,174600,44.35,0.003393613316572841,43.02727272727273,43.02727272727273
2018-01-18,2018,1,18,Thursday,02,2018-02,44.3,44.54,43.72,43.86,220500,43.86,-0.011048430228367434,43.096666666666664,43.096666666666664
2018-01-19,2018,1,19,Friday,02,2018-02,43.78,43.85,42.06,42.62,661700,42.62,-0.028271811701118366,43.059999999999995,43.059999999999995
2018-01-22,2018,1,22,Monday,03,2018-03,42.62,43.11,42.25,43.02,229500,43.02,0.009385301170893756,43.05714285714286,43.05714285714286
2018-01-23,2018,1,23,Tuesday,03,2018-03,43.08,43.79,42.76,43.72,235800,43.72,0.016271519188538974,43.15857142857143,43.10133333333333
2018-01-24,2018,1,24,Wednesday,03,2018-03,43.73,44.36,43.7,43.8,191100,43.8,0.00182978074391138,43.235,43.144999999999996
2018-01-25,2018,1,25,Thursday,03,2018-03,44.06,44.39,43.47,44.31,219100,44.31,0.011643884591644893,43.39928571428572,43.2135294117647
2018-01-26,2018,1,26,Friday,03,2018-03,45.5,46.31,44.95,46.28,365000,46.28,0.04445943003724051,43.68071428571428,43.38388888888889
2018-01-29,2018,1,29,Monday,04,2018-04,46.27,46.5,45.21,45.41,274900,45.41,-0.01879859452965149,43.879999999999995,43.490526315789474
2018-01-30,2018,1,30,Tuesday,04,2018-04,45.08,45.37,44.56,44.95,137000,44.95,-0.010129907201461341,44.09357142857142,43.5635
2018-01-31,2018,1,31,Wednesday,04,2018-04,45.24,45.54,44.52,44.79,229400,44.79,-0.0035595071122673794,44.27928571428571,43.62190476190476
2018-02-01,2018,2,1,Thursday,04,2018-04,44.13,46.04,44.13,45.09,313900,45.09,0.006697906473061677,44.340714285714284,43.68863636363636
2018-02-02,2018,2,2,Friday,04,2018-04,44.8,45.52,44.14,44.56,251200,44.56,-0.011754242126930992,44.354285714285716,43.72652173913043
2018-02-05,2018,2,5,Monday,05,2018-05,43.77,45.26,42.85,44.14,433600,44.14,-0.009425537942068463,44.35,43.74375
2018-02-06,2018,2,6,Tuesday,05,2018-05,43.16,44.45,42.85,43.82,370700,43.82,-0.007249653358610275,44.31214285714286,43.7468
2018-02-07,2018,2,7,Wednesday,05,2018-05,43.74,45.32,43.66,44.75,272600,44.75,0.021223192872035224,44.37571428571429,43.785384615384615
2018-02-08,2018,2,8,Thursday,05,2018-05,44.95,47.31,43.8,46.39,791500,46.39,0.036648031053596375,44.644999999999996,43.88185185185185
2018-02-09,2018,2,9,Friday,05,2018-05,42.55,46.63,42.36,44.95,1616600,44.95,-0.031041143471761012,44.78285714285715,43.92
2018-02-12,2018,2,12,Monday,06,2018-06,45.0,45.32,43.02,44.22,693600,44.22,-0.016240256503804118,44.81857142857143,43.93034482758621
2018-02-13,2018,2,13,Tuesday,06,2018-06,44.23,44.96,44.07,44.76,386600,44.76,0.012211603028569273,44.88714285714286,43.958
2018-02-14,2018,2,14,Wednesday,06,2018-06,44.81,47.22,44.53,47.13,706800,47.13,0.0529491250101739,45.08857142857143,44.060322580645156
2018-02-15,2018,2,15,Thursday,06,2018-06,47.29,48.36,46.51,47.39,523400,47.39,0.00551662031913458,45.167857142857144,44.164375
2018-02-16,2018,2,16,Friday,06,2018-06,47.24,47.76,46.61,46.96,437600,46.96,-0.009073650785269005,45.27857142857143,44.24909090909091
2018-02-20,2018,2,20,Tuesday,07,2018-07,46.48,47.89,46.37,47.47,330200,47.47,0.010860352346111934,45.45857142857143,44.343823529411765
2018-02-21,2018,2,21,Wednesday,07,2018-07,47.48,48.7,47.46,47.74,251200,47.74,0.005687812319792318,45.669285714285714,44.44085714285715
2018-02-22,2018,2,22,Thursday,07,2018-07,48.14,48.2,47.38,47.8,256600,47.8,0.0012567565245984458,45.862857142857145,44.534166666666664
2018-02-23,2018,2,23,Friday,07,2018-07,47.76,47.76,46.49,47.0,361100,47.0,-0.016736385979694512,46.037142857142854,44.60081081081081
2018-02-26,2018,2,26,Monday,08,2018-08,47.15,47.24,46.1,46.56,240200,46.56,-0.009361672908701824,46.209999999999994,44.65236842105263
2018-02-27,2018,2,27,Tuesday,08,2018-08,46.49,47.7,46.45,46.8,331700,46.8,0.005154593141984076,46.42285714285715,44.70743589743589
2018-02-28,2018,2,28,Wednesday,08,2018-08,46.45,48.19,46.36,47.54,764400,47.54,0.015812001934410125,46.62214285714286,44.77825
2018-03-01,2018,3,1,Thursday,08,2018-08,47.64,48.05,46.42,47.8,447000,47.8,0.0054690432588586635,46.722857142857144,44.851951219512195
2018-03-02,2018,3,2,Friday,08,2018-08,47.38,49.27,46.96,49.12,381200,49.12,0.02761505681784171,47.020714285714284,44.95357142857143
2018-03-05,2018,3,5,Monday,09,2018-09,48.88,51.27,48.43,51.21,603200,51.21,0.04254886396651014,47.519999999999996,45.09906976744186
2018-03-06,2018,3,6,Tuesday,09,2018-09,51.31,52.61,51.31,52.55,474900,52.55,0.026166767751304,48.076428571428565,45.26840909090909
2018-03-07,2018,3,7,Wednesday,09,2018-09,51.81,53.93,51.81,53.65,460500,53.65,0.020932489149164235,48.542142857142856,45.45466666666667
2018-03-08,2018,3,8,Thursday,09,2018-09,53.79,54.4,53.37,53.65,351800,53.65,0.0,48.989285714285714,45.63282608695653
2018-03-09,2018,3,9,Friday,09,2018-09,54.0,55.21,53.81,55.12,443400,55.12,0.027399764477113342,49.57214285714286,45.83468085106383
2018-03-12,2018,3,12,Monday,10,2018-10,55.16,57.05,55.05,56.78,491900,56.78,0.03011610812009402,50.23714285714285,46.062708333333326
2018-03-13,2018,3,13,Tuesday,10,2018-10,55.16,57.77,55.05,57.15,591600,57.15,0.006516427519138057,50.909285714285716,46.28897959183673
2018-03-14,2018,3,14,Wednesday,10,2018-10,57.25,58.74,56.64,58.49,334900,58.49,0.023447071160288768,51.67285714285714,46.533
2018-03-15,2018,3,15,Thursday,10,2018-10,58.49,59.73,57.75,57.99,485100,57.99,-0.008548469578589124,52.457857142857144,46.846799999999995
2018-03-16,2018,3,16,Friday,10,2018-10,58.11,58.53,57.25,58.4,374900,58.4,0.007070181678652254,53.30357142857143,47.160199999999996
2018-03-19,2018,3,19,Monday,11,2018-11,58.22,58.54,56.57,57.17,408700,57.17,-0.021061700767054603,54.044285714285714,47.4634
2018-03-20,2018,3,20,Tuesday,11,2018-11,57.13,57.7,56.34,57.4,288000,57.4,0.004023147880010347,54.74857142857143,47.7646
2018-03-21,2018,3,21,Wednesday,11,2018-11,57.2,57.95,56.83,57.2,209800,57.2,-0.0034843337564944843,55.42,48.0562
2018-03-22,2018,3,22,Thursday,11,2018-11,56.52,57.11,55.42,55.63,450100,55.63,-0.027447546746213303,55.885,48.3296
2018-03-23,2018,3,23,Friday,11,2018-11,55.63,55.7,54.32,54.37,524100,54.37,-0.022649687435520316,56.11071428571428,48.5732
2018-03-26,2018,3,26,Monday,12,2018-12,54.8,55.92,54.51,55.88,490900,55.88,0.027772708587362915,56.348571428571425,48.8062
2018-03-27,2018,3,27,Tuesday,12,2018-12,56.05,56.06,53.65,53.84,337700,53.84,-0.036506815972331075,56.36214285714285,48.9956
2018-03-28,2018,3,28,Wednesday,12,2018-12,53.85,53.95,52.71,53.41,407300,53.41,-0.007986632688653739,56.34499999999999,49.17980000000001
2018-03-29,2018,3,29,Thursday,12,2018-12,53.51,54.52,52.25,54.0,440100,54.0,0.01104662337153095,56.26499999999999,49.3728
2018-04-02,2018,4,2,Monday,13,2018-13,53.54,53.92,52.62,53.04,417100,53.04,-0.017777760823567745,55.99785714285714,49.556400000000004
2018-04-03,2018,4,3,Tuesday,13,2018-13,53.55,54.44,53.16,53.43,361300,53.43,0.007352929542168818,55.732142857142854,49.77259999999999
2018-04-04,2018,4,4,Wednesday,13,2018-13,52.65,53.68,52.5,53.47,453800,53.47,0.0007486602152138033,55.37357142857143,49.9816
2018-04-05,2018,4,5,Thursday,13,2018-13,53.93,54.16,52.86,52.97,253800,52.97,-0.00935103775173296,55.015,50.166599999999995
2018-04-06,2018,4,6,Friday,13,2018-13,52.8,53.05,52.21,52.65,253300,52.65,-0.006041149470450646,54.604285714285716,50.343599999999995
2018-04-09,2018,4,9,Monday,14,2018-14,52.77,53.32,51.86,51.97,276500,51.97,-0.01291548500414652,54.23285714285714,50.49679999999999
2018-04-10,2018,4,10,Tuesday,14,2018-14,52.61,54.08,52.44,53.73,240800,53.73,0.03386565865294,53.97071428571428,50.6458
2018-04-11,2018,4,11,Wednesday,14,2018-14,53.59,54.14,53.28,53.41,145800,53.41,-0.005955698819105182,53.7,50.8058
2018-04-12,2018,4,12,Thursday,14,2018-14,53.39,53.96,52.68,53.77,268500,53.77,0.006740322250141428,53.56714285714286,50.982200000000006
2018-04-13,2018,4,13,Friday,14,2018-14,49.24,50.2,47.81,49.84,2955500,49.84,-0.07308908818520088,53.243571428571435,51.0832
2018-04-16,2018,4,16,Monday,15,2018-15,50.0,50.2,48.89,49.03,1002900,49.03,-0.01625203392478236,52.75428571428572,51.162
2018-04-17,2018,4,17,Tuesday,15,2018-15,49.22,50.72,49.15,49.39,610000,49.39,0.007342456033337275,52.43642857142857,51.258599999999994
